,all_loss_values,all_test_loss_values
0,67.59122,47.711323
1,67.53272,47.67675
2,67.47158,47.630516
3,67.40722,47.582146
4,67.33942,47.534763
5,67.267914,47.486744
6,67.19254,47.435783
7,67.11309,47.379677
8,67.02937,47.31857
9,66.9412,47.254345
10,66.84833,47.188343
11,66.7506,47.120144
12,66.64781,47.048225
13,66.53977,46.970913
14,66.426254,46.888004
15,66.30712,46.8006
16,66.182014,46.709995
17,66.050865,46.61616
18,65.91347,46.517757
19,65.769615,46.41345
20,65.61907,46.30268
21,65.461784,46.18637
22,65.297485,46.065716
23,65.12599,45.940674
24,64.94721,45.80992
25,64.76092,45.672348
26,64.56686,45.527534
27,64.36514,45.3766
28,64.15555,45.21997
29,63.9379,45.05787
30,63.712112,44.888992
31,63.47793,44.712418
32,63.235317,44.528053
33,62.98413,44.33683
34,62.72439,44.139374
35,62.455864,43.934906
36,62.178577,43.72295
37,61.892403,43.503296
38,61.597458,43.27614
39,61.29334,43.042557
40,60.98018,42.802002
41,60.65794,42.553818
42,60.32658,42.2981
43,59.985973,42.035164
44,59.63626,41.765465
45,59.277397,41.48842
46,58.909237,41.20448
47,58.53257,40.91362
48,58.14669,40.616592
49,57.75171,40.31296
50,57.348083,40.00223
51,56.935867,39.684692
52,56.515,39.361305
53,56.085648,39.032803
54,55.648094,38.698086
55,55.202602,38.356697
56,54.74933,38.009624
57,54.288437,37.65712
58,53.81906,37.299767
59,53.341858,36.935722
60,52.85839,36.565575
61,52.36812,36.191868
62,51.871006,35.81389
63,51.36686,35.430244
64,50.856747,35.042004
65,50.34067,34.65056
66,49.81845,34.254887
67,49.290787,33.85412
68,48.757484,33.450478
69,48.21902,33.04448
70,47.67533,32.634525
71,47.12737,32.22106
72,46.574886,31.806725
73,46.018906,31.390799
74,45.458645,30.971352
75,44.89432,30.549425
76,44.326973,30.126118
77,43.75675,29.701366
78,43.183914,29.275927
79,42.60796,28.848686
80,42.02984,28.421059
81,41.450207,27.993687
82,40.86883,27.566584
83,40.286236,27.13906
84,39.702267,26.711475
85,39.11751,26.284231
86,38.532314,25.857485
87,37.947617,25.432177
88,37.362717,25.00754
89,36.777184,24.5838
90,36.19211,24.160793
91,35.607773,23.738497
92,35.024845,23.31828
93,34.44253,22.900454
94,33.861683,22.48439
95,33.282753,22.07054
96,32.706284,21.659292
97,32.132126,21.250477
98,31.56002,20.84436
99,30.990147,20.440567
100,30.42289,20.038895
101,29.85899,19.640526
102,29.29908,19.245289
103,28.743156,18.85362
104,28.191086,18.46588
105,27.642998,18.081625
106,27.099274,17.701973
107,26.560358,17.326387
108,26.0266,16.955042
109,25.497929,16.587864
110,24.974773,16.22534
111,24.456993,15.8669195
112,23.944519,15.51384
113,23.438347,15.165481
114,22.938848,14.821188
115,22.445498,14.482526
116,21.959358,14.148834
117,21.480057,13.819874
118,21.006832,13.496843
119,20.54107,13.177933
120,20.082676,12.865687
121,19.63221,12.558107
122,19.189552,12.256769
123,18.7547,11.961308
124,18.327019,11.670625
125,17.907444,11.387221
126,17.495924,11.108614
127,17.09295,10.837281
128,16.698711,10.57046
129,16.312796,10.310826
130,15.935007,10.05688
131,15.56567,9.80954
132,15.204871,9.569071
133,14.852529,9.334312
134,14.509105,9.107097
135,14.174605,8.885523
136,13.848551,8.670858
137,13.530973,8.461532
138,13.222352,8.259514
139,12.92249,8.063385
140,12.630622,7.8748055
141,12.34752,7.6903734
142,12.07321,7.5145054
143,11.807516,7.3427286
144,11.549804,7.1785054
145,11.300198,7.0195284
146,11.058862,6.8656034
147,10.8258,6.719325
148,10.600737,6.577494
149,10.383065,6.441917
150,10.173087,6.3119655
151,9.9709215,6.186425
152,9.776315,6.067291
153,9.588984,5.952778
154,9.4085045,5.8427324
155,9.2349825,5.7382684
156,9.068293,5.6379576
157,8.908298,5.542502
158,8.754749,5.451748
159,8.607517,5.364787
160,8.466325,5.2825074
161,8.331033,5.2041245
162,8.201537,5.1294956
163,8.077627,5.058981
164,7.9591117,4.991791
165,7.8457813,4.928364
166,7.737421,4.8682246
167,7.6338563,4.8111124
168,7.534942,4.7573876
169,7.440589,4.7061877
170,7.350625,4.6579776
171,7.264888,4.612436
172,7.1831126,4.5693283
173,7.1051445,4.5288625
174,7.030709,4.4905744
175,6.959712,4.454519
176,6.892097,4.420533
177,6.827688,4.388454
178,6.766225,4.35822
179,6.707567,4.3296146
180,6.6515503,4.3025165
181,6.5980945,4.2768707
182,6.546998,4.2525225
183,6.498215,4.2295036
184,6.4515047,4.207563
185,6.4067245,4.1865573
186,6.363775,4.166602
