,DyS,n_t,dt,traj,mse_x,mse
0,MLP,3,0.02,100,0.6523052748819157,0.4277564566159072
1,MLP,3,0.02,100,0.19638726560635011,0.4277564566159072
2,MLP,3,0.02,100,0.36000897973170726,0.4277564566159072
3,MLP,3,0.02,100,0.11481581128422434,0.4277564566159072
4,MLP,3,0.02,100,1.124960120697858,0.4277564566159072
5,MLP,3,0.02,100,0.15830250121587622,0.4277564566159072
6,MLP,3,0.02,100,0.6433148004599927,0.4277564566159072
7,MLP,3,0.02,100,0.08508170819010137,0.4277564566159072
8,MLP,3,0.02,100,0.5760054697573689,0.4277564566159072
9,MLP,3,0.02,100,0.3663826343336714,0.4277564566159072
